train_test,car_type,model_year,interval_start,interval_end,duration,exposure_month,n_censored,n_failed,active_warranties,ln_warranties,car_type_code
Test,Compact SUV,2019,2019-06-01,2019-06-30,2,06,0.0,1.0,69,4.23410650459726,1
Test,Compact SUV,2019,2019-10-01,2019-10-31,2,10,0.0,1.0,130,4.867534450455582,1
Test,Compact SUV,2019,2019-12-01,2019-12-31,5,12,0.0,1.0,155,5.043425116919247,1
Test,Compact SUV,2019,2020-01-01,2020-01-31,12,01,0.0,1.0,173,5.153291594497779,1
Test,Compact SUV,2019,2020-03-01,2020-03-31,11,03,0.0,1.0,186,5.225746673713202,1
Test,Compact SUV,2019,2020-04-01,2020-04-30,14,04,0.0,1.0,193,5.262690188904886,1
Test,Compact SUV,2019,2020-06-01,2020-06-30,1,06,0.0,1.0,200,5.298317366548036,1
Test,Compact SUV,2019,2020-06-01,2020-06-30,14,06,0.0,1.0,200,5.298317366548036,1
Test,Compact SUV,2019,2020-07-01,2020-07-31,13,07,0.0,1.0,200,5.298317366548036,1
Test,Compact SUV,2019,2020-07-01,2020-07-31,17,07,0.0,1.0,200,5.298317366548036,1
Test,Compact SUV,2019,2020-07-01,2020-07-31,19,07,1.0,0.0,200,5.298317366548036,1
Test,Compact SUV,2019,2020-07-01,2020-07-31,21,07,0.0,1.0,200,5.298317366548036,1
Test,Compact SUV,2019,2020-08-01,2020-08-31,16,08,0.0,1.0,199,5.293304824724492,1
Test,Compact SUV,2019,2020-09-01,2020-09-30,19,09,1.0,0.0,199,5.293304824724492,1
Test,Compact SUV,2019,2020-11-01,2020-11-30,24,11,1.0,0.0,198,5.288267030694535,1
Test,Compact SUV,2019,2020-12-01,2020-12-31,22,12,0.0,1.0,197,5.2832037287379885,1
Test,Compact SUV,2019,2020-12-01,2020-12-31,24,12,1.0,0.0,197,5.2832037287379885,1
Test,Compact SUV,2019,2020-12-01,2020-12-31,26,12,1.0,0.0,197,5.2832037287379885,1
Test,Compact SUV,2019,2021-01-01,2021-01-31,21,01,1.0,1.0,195,5.272999558563747,1
Test,Compact SUV,2019,2021-02-01,2021-02-28,19,02,1.0,0.0,194,5.267858159063328,1
Test,Compact SUV,2019,2021-02-01,2021-02-28,21,02,1.0,0.0,194,5.267858159063328,1
Test,Compact SUV,2019,2021-02-01,2021-02-28,23,02,1.0,0.0,194,5.267858159063328,1
Test,Compact SUV,2019,2021-02-01,2021-02-28,24,02,0.0,1.0,194,5.267858159063328,1
Test,Compact SUV,2019,2021-03-01,2021-03-31,19,03,1.0,0.0,191,5.25227342804663,1
Test,Compact SUV,2019,2021-03-01,2021-03-31,22,03,1.0,1.0,191,5.25227342804663,1
Test,Compact SUV,2019,2021-03-01,2021-03-31,23,03,1.0,0.0,191,5.25227342804663,1
Test,Compact SUV,2019,2021-03-01,2021-03-31,24,03,1.0,0.0,191,5.25227342804663,1
Test,Compact SUV,2019,2021-03-01,2021-03-31,25,03,3.0,0.0,191,5.25227342804663,1
Test,Compact SUV,2019,2021-03-01,2021-03-31,29,03,1.0,0.0,191,5.25227342804663,1
Test,Compact SUV,2019,2021-04-01,2021-04-30,15,04,0.0,1.0,183,5.209486152841421,1
Test,Compact SUV,2019,2021-04-01,2021-04-30,21,04,1.0,0.0,183,5.209486152841421,1
Test,Compact SUV,2019,2021-04-01,2021-04-30,23,04,2.0,0.0,183,5.209486152841421,1
Test,Compact SUV,2019,2021-04-01,2021-04-30,24,04,2.0,0.0,183,5.209486152841421,1
Test,Compact SUV,2019,2021-04-01,2021-04-30,26,04,1.0,0.0,183,5.209486152841421,1
Test,Compact SUV,2019,2021-04-01,2021-04-30,27,04,1.0,0.0,183,5.209486152841421,1
Test,Compact SUV,2019,2021-05-01,2021-05-31,20,05,0.0,1.0,175,5.1647859739235145,1
Test,Compact SUV,2019,2021-05-01,2021-05-31,24,05,2.0,0.0,175,5.1647859739235145,1
Test,Compact SUV,2019,2021-05-01,2021-05-31,25,05,2.0,0.0,175,5.1647859739235145,1
Test,Compact SUV,2019,2021-06-01,2021-06-30,20,06,1.0,0.0,171,5.14166355650266,1
Test,Compact SUV,2019,2021-06-01,2021-06-30,21,06,2.0,0.0,171,5.14166355650266,1
Test,Compact SUV,2019,2021-06-01,2021-06-30,24,06,1.0,0.0,171,5.14166355650266,1
Test,Compact SUV,2019,2021-06-01,2021-06-30,26,06,1.0,0.0,171,5.14166355650266,1
Test,Compact SUV,2019,2021-07-01,2021-07-31,21,07,1.0,0.0,167,5.117993812416755,1
Test,Compact SUV,2019,2021-07-01,2021-07-31,22,07,2.0,0.0,167,5.117993812416755,1
Test,Compact SUV,2019,2021-07-01,2021-07-31,24,07,1.0,0.0,167,5.117993812416755,1
Test,Compact SUV,2019,2021-07-01,2021-07-31,25,07,1.0,0.0,167,5.117993812416755,1
